id,setor,soma_associados,cor_node,cnae_fiscal_principal
13630029,41 - Construção de Edifícios,7,green,4120400
47834153,Outros,8,yellow,3900500
13712841,41 - Construção de Edifícios,4,green,4110700
37770513,Outros,4,yellow,4930202
08095318,Outros,29,yellow,4723700
31557397,Outros,8,yellow,4691500
55572124,Outros,10,yellow,4789004
50227993,Outros,8,yellow,4731800
19312885,68 - Atividades Imobiliárias,19,red,6810201
55890375,Outros,5,yellow,8593700
00899946,Outros,7,yellow,0810099
04773604,Outros,37,yellow,2212900
03882048,42 - Obras de Infraestrutura,3,blue,4221902
14656125,Outros,10,yellow,4511102
10225242,41 - Construção de Edifícios,7,green,4120400
30095431,Outros,6,yellow,4712100
53853824,Outros,8,yellow,4651601
29751618,Outros,10,yellow,4789005
10231587,41 - Construção de Edifícios,8,green,4120400
47894259,Outros,12,yellow,4731800
29219683,Outros,14,yellow,1610203
48569264,Outros,11,yellow,4711302
23167053,Outros,11,yellow,7911200
43455347,Outros,5,yellow,4742300
08240622,Outros,5,yellow,7020400
57012991,41 - Construção de Edifícios,11,green,4120400
20012838,Outros,6,yellow,7020400
37788555,Outros,9,yellow,8531700
39273683,41 - Construção de Edifícios,4,green,4120400
39804464,41 - Construção de Edifícios,8,green,4120400
15316738,Outros,5,yellow,4391600
41376546,Outros,3,yellow,4712100
33703874,Outros,6,yellow,4639701
23893455,41 - Construção de Edifícios,8,green,4110700
03813143,Outros,6,yellow,4617600
57003730,Outros,10,yellow,4754701
09621719,Outros,7,yellow,8640209
84152784,Outros,6,yellow,4639702
48578722,Outros,6,yellow,4520005
21816179,Outros,10,yellow,4712100
08242838,Outros,20,yellow,1610204
10488420,Outros,6,yellow,7311400
11508712,68 - Atividades Imobiliárias,7,red,6810201
21892130,Outros,12,yellow,4771704
47756561,Outros,10,yellow,7112000
27466183,Outros,12,yellow,0151201
09721936,68 - Atividades Imobiliárias,4,red,6810201
26209129,Outros,6,yellow,4619200
40501349,Outros,4,yellow,4744099
08549558,Outros,19,yellow,7020400
04436761,Outros,6,yellow,7112000
58356738,Outros,9,yellow,8211300
18168390,Outros,3,yellow,4744099
43012876,Outros,15,yellow,0990402
38283892,Outros,12,yellow,4619200
27862060,Outros,7,yellow,4744006
37366665,Outros,28,yellow,4511101
04194748,Outros,12,yellow,6463800
48611660,Outros,14,yellow,4744099
14930274,41 - Construção de Edifícios,14,green,4120400
28298039,Outros,51,yellow,4731800
04103417,Outros,6,yellow,4752100
44280448,Outros,17,yellow,4731800
35794182,41 - Construção de Edifícios,3,green,4120400
05103899,Outros,2,yellow,4635401
15185037,41 - Construção de Edifícios,7,green,4120400
37408235,Outros,3,yellow,8219999
57372381,41 - Construção de Edifícios,24,green,4120400
08821446,41 - Construção de Edifícios,16,green,4110700
21526029,Outros,4,yellow,7739003
50024923,68 - Atividades Imobiliárias,5,red,6810201
07932878,41 - Construção de Edifícios,15,green,4120400
14617028,Outros,3,yellow,4763605
