from,to,associado
19383540,34834598,1
19383540,43275147,1
19383540,48546635,1
19383540,83367466,1
19383540,40737731,1
19383540,38307996,1
03547690,33917788,1
03547690,14564858,1
03547690,04993390,1
03547690,20990397,1
03547690,20990430,1
03547690,14145403,1
03547690,57222755,1
03547690,12918898,1
03547690,31364863,1
03547690,63820492,1
03547690,15648147,1
03547690,05149879,1
20443071,49915450,1
14631621,84189950,1
33754667,46734202,1
14373109,44246433,1
14373109,19532039,1
14373109,16845198,1
14373109,46084556,1
14373109,27015623,1
14373109,50841256,1
14373109,16455543,1
51098407,52847725,1
03114391,10547801,1
03114391,03861891,1
03114391,05559345,1
03114391,03336298,1
15761042,26634582,1
15761042,33102290,1
23983251,40195862,1
23983251,47262312,1
23983251,43182281,1
23983251,48303623,1
23983251,25316468,1
23983251,39814966,1
23983251,43233967,1
23983251,54931730,1
23983251,34591310,1
04898698,06164013,1
04898698,22960942,1
04898698,15751670,1
04898698,04928479,1
04898698,05635107,1
04898698,51439154,1
04898698,53077471,1
38086505,47459363,1
38086505,42236036,1
20735238,30534814,1
20735238,30874272,1
20735238,52202571,1
20735238,21062604,1
20735238,49356704,1
20735238,52262984,1
27964315,39927204,1
27964315,45907772,1
27964315,29229411,1
27964315,44175488,1
20587643,44169030,1
20587643,39476297,1
20587643,58115694,1
11654469,41259337,1
19112682,83367466,1
19112682,52153417,1
19112682,28154395,1
04887055,09558788,1
04887055,23775015,1
05416839,10221771,1
05416839,13095405,1
07668180,83383638,1
07668180,13580079,1
07668180,37797902,1
07668180,10233096,1
07668180,33872676,1
07668180,15011981,1
07668180,10963632,1
07668180,45085822,1
41073254,41450630,1
36990916,49778923,1
36990916,55572153,1
36990916,55572443,1
54979011,57635372,1
54979011,58188878,1
10244952,57752984,1
10244952,22929707,1
52833680,83367771,1
52833680,83303776,1
51404327,57719959,1
51404327,52222822,1
28694027,34331988,1
47214336,50668156,1
47214336,54332505,1
47214336,53722842,1
47214336,54885487,1
47214336,54619214,1
46883917,57719959,1
46883917,52222822,1
46883917,47720643,1
44075904,58199211,1
44075904,44639331,1
44075904,55600414,1
44075904,44463761,1
04991576,15761042,1
04991576,26634582,1
04991576,33102290,1
22979637,34877670,1
04887055,19676520,1
04887055,57860781,1
04887055,40184687,1
47214336,55413071,1
10221771,10274836,1
10221771,10452277,1
14085265,23454611,1
14085265,40710540,1
14085265,54804007,1
14085265,36648048,1
09637395,10898350,1
05312424,10221771,1
05312424,07005751,1
05312424,07012285,1
05312424,10141151,1
05312424,10274836,1
05312424,10452277,1
07005751,10221771,1
07005751,07012285,1
07005751,10141151,1
07005751,10274836,1
07005751,10452277,1
52521807,54048782,1
32203164,50545443,1
32203164,56060720,1
53620897,58447768,1
53620897,53874270,1
53620897,55207387,1
53620897,55273088,1
53620897,54782375,1
53620897,56090606,1
53620897,54545658,1
53620897,53874267,1
42056628,42413145,1
44246433,50841256,1
11101355,22623585,1
11101355,46495181,1
49406031,63845986,1
04162819,04913018,1
04162819,56296160,1
04162819,04730412,1
04162819,04949426,1
04162819,22974380,1
37377894,45747046,1
37377894,50690936,1
37377894,42932312,1
37377894,44929051,1
18750515,26233642,1
18750515,33258562,1
18750515,22960942,1
46992361,49493875,1
26428936,44646757,1
33904753,45883575,1
33904753,41719884,1
33904753,49404135,1
33904753,39907822,1
33904753,57157601,1
33236825,46755673,1
33236825,45866891,1
33236825,47039189,1
47666291,55443749,1
47666291,54137324,1
47666291,53913111,1
47666291,55734874,1
14676360,31722214,1
14676360,52486509,1
14676360,55208432,1
14676360,37218720,1
14676360,37998675,1
25450139,25450169,1
45797608,49335807,1
06164013,15751670,1
06164013,51439154,1
06164013,53077471,1
50730997,55266608,1
50730997,54931730,1
50730997,51597760,1
33256711,46167663,1
33256711,42365622,1
33256711,54965803,1
33256711,57387226,1
33256711,42430618,1
14402035,18352188,1
14402035,17489587,1
39647543,55413071,1
39647543,43347791,1
39952555,45388597,1
10760586,14373109,1
10760586,44246433,1
10760586,37567308,1
10760586,39701877,1
10760586,11158828,1
10760586,16455522,1
10760586,14484483,1
10760586,12703882,1
10760586,19532039,1
10760586,13313677,1
10760586,16845198,1
10760586,14625319,1
10760586,16499871,1
10760586,46084556,1
10760586,11058976,1
10760586,36357201,1
10760586,12703958,1
10760586,11188852,1
10760586,27015623,1
10760586,14376007,1
10760586,14603843,1
10760586,11339572,1
10760586,12497824,1
10760586,50841256,1
10760586,46268382,1
10760586,16455543,1
29982883,34808701,1
29982883,48661347,1
29982883,47538064,1
29982883,47858418,1
29982883,48667370,1
29982883,57859208,1
29982883,48661389,1
29982883,52082507,1
29982883,37014309,1
29982883,48661339,1
48633627,53774922,1
48633627,52325585,1
55335287,57447230,1
55335287,57901144,1
55335287,57271936,1
55335287,57412589,1
55335287,57256870,1
55335287,55838925,1
18708608,30899773,1
18708608,43293047,1
18708608,27672905,1
33301872,51010500,1
48520164,56607226,1
48520164,54082777,1
47762479,57782858,1
04743100,39329738,1
04743100,09627328,1
04743100,23179396,1
04743100,12119516,1
04743100,83650606,1
04743100,41019135,1
04743100,41307302,1
04743100,18753050,1
33574353,37416022,1
33574353,34671172,1
29660216,36171778,1
29660216,33745782,1
29660216,51161425,1
29660216,32212857,1
29660216,63848360,1
06915272,19432332,1
06915272,33963982,1
06915272,56925052,1
06915272,29629465,1
06915272,22061323,1
06915272,35027399,1
06915272,16821155,1
35040545,42879168,1
35040545,47768563,1
35040545,58421459,1
35040545,48780328,1
35040545,54898502,1
35040545,54758331,1
12455695,49820503,1
12455695,49046490,1
12455695,40600676,1
12455695,15762958,1
12455695,31860440,1
12455695,52194725,1
12455695,53269040,1
07783091,17909341,1
07783091,13450053,1
44343593,83325381,1
10558082,50180210,1
10558082,52228257,1
13881417,37513392,1
13881417,20239662,1
13881417,83320846,1
08679561,18268274,1
08679561,37366665,1
08679561,20474705,1
08679561,63830889,1
08679561,14142921,1
08679561,20335130,1
08679561,51354213,1
08679561,26666570,1
08679561,10645837,1
08679561,83342162,1
08679561,16875649,1
08679561,28298039,1
08679561,24103019,1
08679561,48256984,1
08679561,16878140,1
08679561,12307469,1
08679561,34612325,1
08679561,52644030,1
04009190,36696049,1
06175536,07932841,1
06175536,48256984,1
06175536,83342162,1
06175536,08604284,1
06175536,20335130,1
06175536,12307469,1
06175536,08658243,1
06175536,14142921,1
06175536,08679561,1
06175536,28298039,1
06175536,33915999,1
06175536,16878140,1
06175536,16875649,1
06175536,63830889,1
06175536,51354213,1
06175536,34612325,1
06175536,26666570,1
09687570,18104871,1
42926861,45388597,1
07924602,10320549,1
07924602,47666291,1
07924602,45861983,1
07924602,30181304,1
07924602,55443749,1
07924602,37466456,1
07924602,54137324,1
07924602,53913111,1
07924602,11728366,1
07924602,55734874,1
07924602,31500254,1
23528778,33714406,1
23528778,47858418,1
23528778,53688481,1
23528778,48661389,1
23528778,57585889,1
23528778,34808701,1
23528778,57585885,1
23528778,57585886,1
23528778,48661339,1
23528778,24574133,1
23528778,29329295,1
23528778,57586681,1
23528778,29982883,1
23528778,57859208,1
23528778,52082507,1
23528778,48661347,1
23528778,24902119,1
23528778,48667370,1
23528778,29460787,1
23528778,57586823,1
23528778,57586012,1
07451673,18111277,1
07451673,58279901,1
07451673,08438379,1
07451673,24585147,1
07451673,43691330,1
07451673,10482140,1
07451673,36566244,1
07451673,83333237,1
07451673,09071847,1
07451673,22959779,1
07451673,83310292,1
34954848,83332908,1
09163579,31783432,1
09163579,17359676,1
09163579,50124913,1
09163579,45457749,1
09163579,53712175,1
09163579,10824588,1
09163579,32245462,1
00480113,20660211,1
09020092,34684399,1
09020092,49944478,1
09020092,15275597,1
09020092,21727838,1
09020092,15185037,1
12132917,29751618,1
12132917,39786136,1
12132917,37696690,1
12132917,55572124,1
12132917,14656125,1
22929707,46182869,1
22929707,44125923,1
22929707,54602056,1
57285529,83914226,1
53271619,57719959,1
53271619,58421459,1
53271619,54898502,1
53271619,54758331,1
08792120,13391535,1
08792120,57726453,1
08792120,53675536,1
08792120,14686260,1
08792120,54790193,1
42345486,57003730,1
42345486,52683891,1
06037193,44256432,1
06037193,09072358,1
38356976,57496254,1
23319181,34733870,1
23319181,27722405,1
19574915,46166002,1
39877284,40501349,1
22947144,42497894,1
22947144,42226877,1
05641437,45291116,1
05641437,50609978,1
05054671,19112682,1
05054671,23893018,1
05054671,34834598,1
05054671,22335505,1
05054671,48546635,1
05054671,40907690,1
05054671,48372268,1
05054671,14177338,1
04976718,21995320,1
04976718,10951227,1
04976718,39334969,1
10482140,24585147,1
10482140,43976615,1
10482140,83310292,1
10482140,58279901,1
10482140,13755682,1
10482140,18111277,1
10482140,83333237,1
10482140,22959779,1
12417145,24923147,1
12417145,52722554,1
14839089,27796490,1
14839089,49337592,1
31205691,40695263,1
31205691,58246272,1
31205691,38651268,1
31205691,32203973,1
31205691,43011102,1
31205691,54229231,1
31205691,57363999,1
17329935,30680195,1
17329935,53121520,1
17329935,26892234,1
17329935,50446091,1
17329935,57711501,1
41463606,56661682,1
41463606,48555717,1
41463606,48754339,1
08207772,33406765,1
08207772,33141526,1
08207772,97542173,1
08207772,13518879,1
40015013,51375431,1
40015013,53327451,1
46495181,50908405,1
46495181,47463212,1
46495181,52389398,1
46495181,54782060,1
04740841,15255821,1
04740841,07081633,1
04740841,20747693,1
04740841,17844808,1
17112048,63838684,1
33917788,57222755,1
33917788,63820492,1
26455653,57707810,1
26455653,45039499,1
07772245,42621451,1
07772245,42793884,1
07772245,46286669,1
07772245,07919179,1
07772245,84154608,1
07772245,45245872,1
41699731,44000141,1
42084429,52279393,1
42084429,57901736,1
42084429,47027121,1
42084429,54007941,1
42084429,54012325,1
06957217,57782858,1
06957217,47762479,1
06957217,38056616,1
06957217,27520027,1
06957217,26634582,1
23472709,49404135,1
23472709,39907822,1
23472709,25292639,1
23472709,24429020,1
23472709,46167663,1
23472709,57157601,1
23472709,25232025,1
04996064,07778090,1
18133996,46793672,1
18133996,32913189,1
18133996,21584046,1
04896759,04991576,1
34892620,55334656,1
34892620,51163250,1
22328699,23688558,1
22328699,52443748,1
22328699,47593096,1
22328699,52007020,1
22328699,57155797,1
22328699,46053439,1
22328699,58191310,1
22328699,40672565,1
22328699,51009087,1
37244028,44628771,1
37244028,45907536,1
05856869,25531230,1
13441262,15087218,1
13441262,46515622,1
05003249,41507783,1
05003249,34344872,1
05003249,25261893,1
05003249,40777483,1
05003249,11248496,1
05003249,24239365,1
05003249,11161770,1
05003249,12094545,1
05003249,14155691,1
05003249,57043963,1
50565465,53566131,1
16515254,31205691,1
16515254,40695263,1
16515254,20548007,1
16515254,20474705,1
16515254,21051472,1
16515254,58246272,1
16515254,38651268,1
16515254,32203973,1
16515254,43011102,1
16515254,54229231,1
16515254,57363999,1
16515254,22993378,1
40066165,42988507,1
40066165,50712229,1
47144718,54979011,1
47144718,47768563,1
47144718,57635372,1
47144718,51404327,1
47144718,58188878,1
47144718,48534274,1
47144718,52007020,1
47144718,54344984,1
09657201,27491793,1
09657201,27389567,1
09657201,27413530,1
09657201,27491714,1
09657201,27491827,1
09657201,38628049,1
04898425,27078567,1
04898425,04953915,1
04898425,06696322,1
10716301,11402883,1
33714406,47858418,1
33714406,53688481,1
33714406,48661389,1
33714406,57585889,1
33714406,34808701,1
33714406,57585885,1
33714406,57585886,1
33714406,48661339,1
33714406,57586681,1
33714406,57859208,1
33714406,52082507,1
33714406,48661347,1
33714406,48667370,1
33714406,57586823,1
33714406,57586012,1
07886277,51714217,1
07886277,08107424,1
07886277,08154120,1
07886277,08201747,1
44463761,56964544,1
44463761,58199211,1
44463761,55537919,1
44463761,44639331,1
44463761,55600414,1
44463761,52966267,1
54898502,63873012,1
54898502,57486261,1
02432866,39333408,1
02432866,05059613,1
02432866,47459363,1
02432866,15313646,1
08519062,15743065,1
08519062,27544936,1
46633075,53472612,1
37657857,46251157,1
37657857,37700829,1
37657857,52628936,1
37657857,50735105,1
37657857,37657858,1
41556977,46883917,1
41556977,54979011,1
41556977,47144718,1
41556977,47768563,1
41556977,57635372,1
41556977,51404327,1
41556977,58188878,1
41556977,48534274,1
41556977,52007020,1
41556977,54344984,1
41556977,55537919,1
41556977,57080615,1
41556977,46687601,1
41556977,45487638,1
33932590,34437051,1
33932590,45861983,1
10814847,52722554,1
47768563,54979011,1
47768563,57635372,1
47768563,51404327,1
47768563,58188878,1
47768563,48534274,1
47768563,52007020,1
47768563,54344984,1
50560053,52521807,1
49005717,52521807,1
49005717,55044297,1
49005717,53620897,1
49005717,52710594,1
49005717,53620896,1
37567308,44246433,1
37567308,39701877,1
37567308,46084556,1
37567308,50841256,1
37567308,46268382,1
39701877,50841256,1
33297121,56947805,1
33297121,58460694,1
33297121,56947806,1
37567308,54681456,1
14603843,16455543,1
14603843,52521807,1
14603843,54048782,1
52953919,83310177,1
34467448,42696750,1
20637353,38356976,1
20637353,35289849,1
43308259,48790338,1
43308259,55838925,1
50738091,55991912,1
36125320,48633627,1
36125320,53774922,1
36125320,44029469,1
36125320,52325585,1
41713084,83904276,1
41713084,55416678,1
41713084,54498618,1
18750515,35426559,1
18750515,18817255,1
18750515,31518742,1
28578389,43996246,1
28578389,50800787,1
28578389,32933619,1
28578389,29229919,1
28578389,31744670,1
33930331,53281247,1
33930331,48611660,1
33930331,45737222,1
33930331,53369432,1
33930331,57278636,1
09145788,10453516,1
17918538,58278942,1
17918538,38006053,1
17918538,50119108,1
25450139,39907822,1
25450139,57157601,1
25450139,42365622,1
25450139,29541134,1
25450139,83650374,1
25450139,48328555,1
25450139,42430618,1
25450139,55059900,1
25450139,46719213,1
25450139,44296529,1
25450139,46167663,1
25450139,49404135,1
25450139,46719330,1
25450139,54965803,1
38330743,45019725,1
11085522,30732216,1
11085522,13706299,1
11085522,14099261,1
11085522,34860254,1
18817255,31523999,1
20931910,26891612,1
45636574,83650606,1
42207469,46889802,1
42207469,45489303,1
14710306,39584007,1
14710306,21171923,1
14710306,55037698,1
14710306,43291259,1
14710306,19867404,1
14710306,44609947,1
14710306,45807994,1
14710306,46005113,1
14710306,31769289,1
14710306,52191322,1
14710306,40777020,1
14710306,30863841,1
48440251,53722842,1
48440251,50668156,1
48440251,54619214,1
48440251,54332505,1
48440251,83367219,1
48440251,54885487,1
24582662,47337578,1
24582662,47196575,1
24582662,54662724,1
02884562,40856762,1
02884562,14092407,1
02884562,51761269,1
04097980,20920169,1
04097980,41493205,1
04097980,48198589,1
04097980,15321276,1
04097980,10559828,1
04097980,44577379,1
04097980,24280011,1
07611560,63859474,1
